,0
818,SRSF3
819,CPSF6
820,HNRNPF
821,HNRNPH1
822,HNRNPC
823,HNRNPR
824,DDX5
825,TPR
826,SART1
827,IK
828,RPL37A
829,SNRPB2
830,RPL18A
831,HNRNPA3
832,RPL15
833,THOC6
834,SYNCRIP
835,SF3A1
836,DHX9
837,RPL6
838,RPS24
839,DDX3X
840,DHX15
841,HNRNPDL
842,ILF2
843,HSPA5
844,SAP18
845,DYNC1H1
846,TUBB
847,RRP7A
848,LAMP2
849,SEPT2
850,SBDS
851,SLIRP
852,SARNP
853,COX7A2L
854,SON
855,SEPT7
856,PHGDH
857,NDUFA7
858,S100A9
859,FLNA
860,SAFB
861,SCP2
862,BAZ1B
863,MAGOH
864,EIF4A3
865,SNRPA
866,RBM10
867,RBM5
868,CSNK2A1
869,SMAD5
870,VIF
871,PAN2
872,HDAC2
873,HDAC11
874,GSTK1
875,HLA-DMA
876,XRN1
877,CLK3
878,CLK4
879,SRPK1
880,SRPK3
881,PRPF4B
882,SH3RF2
883,APBB1
884,PIN1
885,SEC13
886,REV
887,TERF1
888,RPA3
889,RPA1
890,AIRE
891,CEP57
892,CEP76
893,TUBGCP3
894,HUWE1
895,AES
896,DACH1
897,MOV10
898,NXF1
899,NUAK1
900,ILK
901,JAK3
902,WDR76
903,ABCE1
904,H2AFX
905,TRA2A
906,CCDC94
907,FAM9A
908,LUC7L
909,LUC7L2
910,EDA
911,STK25
912,C11ORF57
913,NUMB
914,KNSTRN
915,EPB41L3
916,RASSF10
917,LGALS3
918,ZMYND11
919,CWC22
920,FBXW11
921,UNK
922,BUD31
923,C1ORF123
924,ISY1-RAB43
925,MTHFD1
926,PDIA5
927,UBE2A
928,ACIN1
929,PRPF40B
930,PUF60
931,SNRNP200
932,SUB1
933,PPIE
934,PSMA1
935,PSMA5
936,HERC2
937,CLK1
938,PCM1
939,OTX2
940,HIST1H3E
941,AHSA1
942,LAMB3
943,CERK
944,PFKFB2
945,YWHAH
946,PRPS1
947,SNCA
948,SMC1A
949,MSN
950,HAUS1
951,PPP2R5C
952,EZR
953,SNAP29
954,CRNKL1
955,SMEK1
956,CCDC12
957,UBASH3B
958,NF2
959,KSR1
960,USP37
961,ATOH1
962,LINC00673
963,PTPN11
964,PPP4C
965,MAP7D2
966,WDR83
967,GCFC2
968,JMJD6
969,SYF2
970,MDK
971,DGCR14
972,BTRC
973,PIP4K2A
974,RSBN1L
975,AKAP17A
976,CAMKV
977,ZRANB2
978,NKAP
979,PES1
980,DENND2D
981,CHCHD10
982,ZCCHC17
983,XAGE1B
984,DDX41
985,ELAVL2
986,SREK1IP1
987,FAM167A
988,NDEL1
989,CD2BP2
990,EAPP
991,ECD
992,INO80B
993,SLC7A6OS
994,TSSC4
995,ZNHIT2
996,ZNHIT3
997,HSD17B10
998,MTF1
999,TRIM14
1000,PTPN4
1001,PPP4R2
1002,PTCH1
1003,DDX39B
1004,GSK3A
1005,MED12
1006,API5
1007,BMP4
1008,IQGAP1
1009,KRAS
1010,MAP2K3
1011,MATN2
1012,TGFB1
1013,TRIP4
1014,YAF2
1015,FAM188B
1016,RIOK1
1017,ITM2B
1018,LRRK1
1019,SNAI1
1020,ZBTB38
1021,CEBPB
1022,PIK3R1
1023,HIST1H2BB
1024,PSME3
1025,RC3H2
1026,SETD1A
1027,OTUB2
1028,TRPV1
1029,NHLRC2
1030,VRK1
1031,TRIM3
1032,TIA1
1033,OAS3
1034,RNGTT
1035,STYX
1036,TAF15
1037,BIRC3
1038,STAU1
1039,BRD7
1040,ITGA2B
1041,ITGB3
1042,ITGB2
1043,DNAJC17
1044,LSM2
1045,LSM3
1046,NUDC
1047,SNRPD3
1048,SNRPG
1049,FRG1
1050,HNRNPA2B1
1051,PABPC1
1052,PRRC2C
1053,TCEA1
1054,CWC27
1055,SPEN
1056,NSP10
1057,PPIA
1058,PSAP
1059,CMTR1
1060,ARIH2
1061,ZBTB7B
1062,NSP16
1063,HCVGP1
1064,ORF50
1065,HDAC1
1066,RIPK1
1067,LYN
1068,SOX2
1069,M
1070,NSP13
1071,NSP4
1072,NSP6
1073,ORF7B
1074,NSP7
1075,ORF6
1076,MAU2
1077,UBR5
1078,SMG7
1079,CELF1
1080,MEX3B
1081,CHMP4B
1082,ECT2
1083,KIF23
1084,BRPF3
1085,ARHGAP36
1086,SYDE2
1087,C17ORF80
1088,CHCHD1
1089,GRSF1
1090,METTL17
1091,MRRF
1092,MTX2
1093,NDN
1094,NINL
1095,E7
1096,E5B
1097,CIC
1098,NSP11
1099,NSP15
1100,GLI1
1101,NSP12
1102,DNAJC1
1103,DNAJC25
1104,DNAJC28
1105,PPM1G
1106,CFAP20
1107,FHL1
1108,RCC2
1109,MEX3C
1110,MEX3D
1111,MKRN2
1112,PHRF1
1113,RBBP6
1114,UNKL
1115,GLE1
1116,ATG5
1117,C17ORF59
1118,CD3EAP
1119,DDX23
1120,DHX8
1121,NUP50
1122,POLR2C
1123,SEPT10
1124,TRIM37
1125,YBX1
1126,VPS35
1127,PAGE4
1128,MINK1
1129,ZBTB2
1130,LARP4B
1131,S100A7L2
1132,FEM1A
1133,LYAR
1134,IFT20
1135,KXD1
1136,NDOR1
1137,RABEP1
1138,KRT222
1139,RPL22
1140,TACC3
1141,EPB41L1
1142,RNF151
1143,CAPN12
1144,C15ORF59
1145,MCFD2
1146,EIF2B5
1147,HNRNPUL2
1148,S100A2
1149,SULF2
1150,NOG
1151,ZCCHC10
1152,SRSF6
1153,CCDC96
1154,MAD2L1BP
1155,KRT38
1156,GSPT2
1157,NFKBIL1
1158,PNN
1159,PAIP1
1160,C1ORF35
1161,PABPC5
1162,MECP2
1163,THRB
1164,ZRSR2
1165,CPEB2
1166,KHDRBS2
1167,RTCB
1168,E
1169,S
1170,RCHY1
1171,SIRT6
1172,TCEB3
1173,ETV3
1174,GATA4
1175,EN1
1176,NKX2-5
1177,BRD9
1178,AR
1179,RAN
1180,PHACTR3
1181,TGFBR1
1182,TAMO
1183,YRB1
1184,NUTF2
1185,PHACTR1
1186,PPP1CA
1187,XPO6
1188,KMT2A
1189,CBX4
1190,PPP1R15A
1191,CBX2
1192,SMARCB1
1193,GBP2
1194,AKAP11
1195,RYR2
1196,NR3C1
1197,EIF2AK2
1198,NUP153
1199,KCNQ1
1200,BCL2L1
1201,BCL2L2
1202,RANGRF
1203,RCC1
1204,HCFC1
1205,RANBP10
1206,KPNB1
1207,RANBP9
1208,RANBP3
1209,PPARGC1A
1210,LMTK2
1211,IPO5
1212,RNA1
1213,RANGAP1
1214,SNUPN
1215,RRP1B
1216,NTF2A
1217,NTF2B
1218,H2AFY
1219,SLX1B
1220,RUVBL2
1221,RPAP2
1222,RPAP3
1223,GATA3
1224,IKBKG
1225,UBE2I
1226,CBX7
1227,CDC6
1228,SIN3A
1229,TAF6
1230,SPOP
1231,IKBKB
1232,CUEDC2
1233,CCDC6
1234,KDM2B
