,InteractorA,InteractorB
811300,MAGOH,SRSF1
811303,MAGOH,SRSF4
811304,MAGOH,SRSF6
811305,MAGOH,SRSF7
811312,MAGOH,SRRM2
811315,MAGOH,ILF3
811316,MAGOH,ILF2
811323,MAGOH,SNRNP70
811325,MAGOH,SF3B1
811337,EIF4A3,ILF3
811345,EIF4A3,SNRNP70
811347,EIF4A3,SF3B1
811353,EIF4A3,EFTUD2
811358,EIF4A3,PRPF19
811370,MAGOH,EFTUD2
811371,MAGOH,CDC5L
811375,MAGOH,PRPF19
811387,MAGOH,ACTC1
811400,EIF4A3,ACTC1
811440,MAGOH,HIST1H4A
811446,MAGOH,HNRNPM
811458,EIF4A3,HIST1H4A
811464,EIF4A3,HNRNPM
811480,EIF4A3,HSPA8
811485,EIF4A3,RAN
811495,MAGOH,HSPA8
811500,MAGOH,RAN
811504,MAGOH,RBM39
811513,MAGOH,RPL13
811532,EIF4A3,RPL13
814859,USP39,TRIM26
817170,VCP,YWHAB
817173,VCP,YWHAG
817253,VCP,CUL7
817280,VCP,RNF2
817283,VCP,UBR5
817316,VCP,SAP18
817384,VCP,SRSF11
825406,ESR2,HSPA8
825782,MYC,RPL13
825796,MYC,ACTC1
827418,PRPF40A,U2AF1
827421,PRPF40A,RBM39
827422,PRPF40A,SNIP1
827424,PRPF40A,DHX8
827428,PRPF40A,ZCCHC10
827451,SF3B1,RBM17
827453,SF3B1,SNIP1
827546,U2AF1,RNPS1
827551,U2AF1,ZCCHC10
827553,U2AF1,SRPK1
827554,U2AF1,SRPK2
827667,RBM39,PRPF3
827675,RBM39,ZCCHC10
827677,RBM39,SRPK2
827698,SRSF1,SRSF4
827710,SRRM2,SNIP1
827711,SRRM2,SRSF4
827817,PRPF3,SNIP1
827823,PRPF3,ZCCHC10
827952,SNIP1,ZCCHC10
827953,SNIP1,SRPK2
828027,DHX8,ZCCHC10
828052,RNPS1,SRSF4
828055,ACIN1,SRPK2
833896,PRPF40A,BRD4
833899,PRPF40A,SNRNP70
835105,ESR1,EZH2
836796,PPP1CA,MKI67
838106,GAG,RBM17
838134,GAG,NHP2L1
854369,RNF2,SF3B1
856524,PHB,YWHAB
862413,U2AF1,JMJD6
872114,HDAC11,ACIN1
872142,HDAC11,UBR5
872176,HDAC11,PRPF6
872201,HDAC11,SRRM2
886712,FBXO7,PINK1
893551,CLK2,SNRNP70
905863,MYC,BRD3
905967,MYC,SNRNP70
906307,SRPK2,DDX21
906608,SRPK2,SRRM2
906612,SRPK2,EIF4A3
906615,SRPK2,HNRNPM
906626,SRPK2,RBBP6
906637,SRPK2,MAGOH
906638,SRPK2,SRSF7
906646,SRPK2,DIDO1
906681,SRPK1,SRRM2
906683,SRPK1,EIF4A3
906684,SRPK1,SRPK3
906692,SRPK1,ACIN1
906701,SRPK1,MAGOH
906866,CLK2,HNRNPM
906877,CLK2,RBBP6
906881,CLK2,ACIN1
906883,SRPK3,SRRM2
906885,SRPK3,NHP2L1
906889,SRPK3,DDX21
906890,SRPK3,HNRNPM
906891,SRPK3,DHX9
906896,SRPK3,SNRNP70
906913,SRPK3,U2AF1
906915,SRPK3,SRSF6
907015,SRPK1,SRSF7
907023,SRPK3,SRSF1
907063,SRPK1,RBM39
907066,CLK2,RBM39
907067,SRPK3,RBM39
907105,SRPK3,SRSF4
907154,SRPK1,U2AF2
907217,SRPK2,YWHAB
907245,SRPK2,DHX8
907247,SRPK2,BRD3
907329,SRPK2,NUP50
907394,SRPK1,SRSF6
907401,SRPK1,DHX8
907413,SRPK1,USP39
914152,YWHAB,YWHAG
914457,VCP,FBXW11
919452,PRPF40A,NONO
919457,PRPF40A,SF3B1
919461,PRPF40A,SFPQ
919462,PRPF40A,U2AF2
919475,PRPF40A,DHX9
921837,JMJD6,HIST1H4A
921941,DHX9,HNRNPM
924628,HIST1H4A,RBX1
932870,VHL,ILF3
940926,UBR5,UBE2A
950902,FAM96B,SLFN11
950906,FAM96B,PPP1CC
955128,VCP,RPL13
955182,VCP,PRPF19
1034935,FBXW11,EZH2
1034937,FBXW11,SUZ12
1034946,FBXW11,HBP1
1035002,FBXW11,ILF3
1035005,FBXW11,DHX9
1037597,CLK2,SRPK2
1037598,CLK2,U2AF1
1037604,CLK2,RNPS1
1037612,CLK2,SNIP1
1044338,SRSF11,RBM39
1052917,NXF1,SFPQ
1053434,NXF1,PRPF19
1053458,NXF1,C11ORF30
1053598,NXF1,KIF23
1053656,NXF1,ZC3H18
1053657,NXF1,RPL13
1053702,NXF1,DHX8
1053734,NXF1,JMJD6
1053768,NXF1,HNRNPM
1053822,NXF1,RBM39
1054127,RBX1,ESR1
1054641,EP300,VPR
1057549,CUL7,ACIN1
1057611,CUL7,CDC5L
1057618,CUL7,CIT
1057645,CUL7,DDX21
1057661,CUL7,DHX9
1057675,CUL7,EFTUD2
1057677,CUL7,EIF4A3
1057736,CUL7,HIST1H4A
1057778,CUL7,HP1BP3
1057796,CUL7,ILF2
1057797,CUL7,ILF3
1057839,CUL7,MKI67
1057860,CUL7,NONO
1057903,CUL7,PHB
1057904,CUL7,PHGDH
1057917,CUL7,PPP1CA
1057927,CUL7,PRPF19
1057928,CUL7,PRPF40A
1057929,CUL7,PRPF6
1057931,CUL7,PSIP1
1057941,CUL7,PUF60
1057958,CUL7,RAN
1057967,CUL7,RBM39
1057974,CUL7,RNPS1
1057981,CUL7,RPL13
1058027,CUL7,SAFB
1058038,CUL7,SF3B1
1058039,CUL7,SF3B6
1058042,CUL7,SFPQ
1058057,CUL7,SNRNP70
1058069,CUL7,SRRM2
1058071,CUL7,SRSF1
1058074,CUL7,SRSF6
1058075,CUL7,SRSF7
1058122,CUL7,TRIM28
1058131,CUL7,U2AF1
1058132,CUL7,U2AF2
1058137,CUL7,USP39
1058151,CUL7,YWHAB
1058153,CUL7,YWHAG
1058166,OBSL1,ACIN1
1058212,OBSL1,CDC5L
1058225,OBSL1,CIT
1058251,OBSL1,DDX21
1058270,OBSL1,DHX8
1058271,OBSL1,DHX9
1058283,OBSL1,EFTUD2
1058286,OBSL1,EIF4A3
1058338,OBSL1,HIST1H4A
1058378,OBSL1,HP1BP3
1058389,OBSL1,ILF2
1058390,OBSL1,ILF3
1058403,OBSL1,KIF14
1058439,OBSL1,MKI67
1058462,OBSL1,NONO
1058485,OBSL1,NXF1
1058506,OBSL1,PHB
1058507,OBSL1,PHGDH
1058521,OBSL1,PPP1CA
1058529,OBSL1,PRPF19
1058530,OBSL1,PRPF3
1058533,OBSL1,PRPF40A
1058535,OBSL1,PRPF6
1058537,OBSL1,PSIP1
1058541,OBSL1,PUF60
1058546,OBSL1,RAN
1058555,OBSL1,RBM17
1058558,OBSL1,RBM39
1058565,OBSL1,RNPS1
1058570,OBSL1,RPL13
1058603,OBSL1,SAFB
1058618,OBSL1,SF3B1
1058621,OBSL1,SFPQ
1058636,OBSL1,SNRNP70
1058651,OBSL1,SRRM2
1058653,OBSL1,SRSF1
1058655,OBSL1,SRSF11
1058658,OBSL1,SRSF6
1058659,OBSL1,SRSF7
1058703,OBSL1,TRIM28
1058711,OBSL1,U2AF1
1058712,OBSL1,U2AF2
1058720,OBSL1,USP39
1058725,OBSL1,VCP
1062701,EZH2,VCP
1062714,EZH2,CIT
1062717,EZH2,DHX9
1062718,EZH2,ILF3
1062730,EZH2,U2AF1
1062731,EZH2,SNRNP70
1062742,EZH2,SRSF1
1062747,EZH2,TRIM28
1062755,EZH2,U2AF2
1062769,EZH2,SRSF7
1062771,EZH2,SF3B1
1062776,EZH2,ILF2
1062795,EZH2,EFTUD2
1062797,EZH2,PHGDH
1062807,EZH2,RBM39
1062836,EZH2,MAGOH
1062853,SUZ12,ILF3
1062854,SUZ12,EIF4A3
1062857,SUZ12,ACIN1
1062864,SUZ12,SRSF1
1062876,SUZ12,RNPS1
1062879,SUZ12,TRIM28
1062881,SUZ12,DHX9
1062885,SUZ12,SF3B1
1062896,SUZ12,EFTUD2
1062903,SUZ12,HP1BP3
1062908,SUZ12,SNRNP70
1062909,SUZ12,ILF2
1062914,SUZ12,MAGOH
1062915,SUZ12,SRSF5
1062920,SUZ12,U2AF2
1062924,SUZ12,SRSF6
1062955,SUZ12,RBM39
1062956,SUZ12,U2AF1
1062961,SUZ12,SRSF7
1062963,SUZ12,VCP
1062968,SUZ12,RAN
1062982,SUZ12,SAP18
1062989,SUZ12,PHGDH
1062994,SUZ12,NHP2L1
1063034,SUZ12,RNF2
1063045,SUZ12,NXF1
1063049,SUZ12,SF3B6
1063050,SUZ12,PRPF19
1063053,SUZ12,PHB
1063114,SUZ12,RBM4B
1063136,EED,RNF2
1063137,EED,BMI1
1063139,EED,SNRNP70
1063151,EED,SRRM2
1063162,EED,NXF1
1063179,EED,PRPF6
1063217,EED,ACIN1
1063219,EED,CLK2
1063226,EED,NAA40
1063234,EED,SF3B6
1063235,EED,DIDO1
1063242,EED,PRPF19
1063277,EED,KIF20A
1063281,EED,U2AF2
1063350,EED,SAFB
1063360,EED,PUF60
1063371,EED,CDC5L
1063408,EED,EFTUD2
1063409,EED,SF3B1
1063411,EED,EIF4A3
1063412,EED,RAN
1063418,EED,PRPF40A
1063419,EED,NHP2L1
1063422,EED,SRSF6
1063441,EED,PHB
1063470,EED,HP1BP3
1063488,EED,RBM39
1063489,EED,SRSF7
1063493,EED,SRSF1
1063503,EED,HSPA8
1063504,EED,TRIM28
1063514,EED,ILF2
1063516,EED,ILF3
1063521,EED,SFPQ
1063524,EED,NONO
1063528,EED,DDX21
1063534,EED,DHX9
1063537,EED,HNRNPM
1063551,RNF2,TRIM28
1063575,RNF2,DHX9
1063586,RNF2,ILF3
1063663,RNF2,U2AF1
1063672,RNF2,SRSF1
1063749,RNF2,SNRNP70
1063755,RNF2,RAN
1063770,RNF2,PHGDH
1063822,RNF2,EIF4A3
1063841,RNF2,TRIM26
1063846,RNF2,U2AF2
1063915,RNF2,EFTUD2
1063949,RNF2,MAGOH
1063961,RNF2,NHP2L1
1063979,RNF2,ACIN1
1063999,RNF2,PRPF19
1064083,RNF2,SAP18
1064105,RNF2,RNPS1
1064119,RNF2,KIF20A
1064167,BMI1,ILF3
1064183,BMI1,EFTUD2
1064185,BMI1,ILF2
1064197,BMI1,EIF4A3
1064198,BMI1,TRIM28
1064207,BMI1,ACIN1
1064227,BMI1,MAGOH
1064305,BMI1,KIAA1429
1064309,BMI1,SAP18
1064314,BMI1,EP300
1064316,BMI1,HP1BP3
1064321,BMI1,NHP2L1
1064323,BMI1,SRPK2
1064333,BMI1,RNPS1
1064342,BMI1,BUD31
1064395,BMI1,DIDO1
1064439,BMI1,PHGDH
1064451,BMI1,NXF1
1064487,EED,PPP1CC
1064568,EED,FANCD2
1064632,EED,YWHAG
1064688,EED,PHGDH
1064697,EED,YWHAB
1064810,EED,U2AF1
1064862,EED,RPL13
1065004,EED,ACTC1
1065236,EED,CUL7
1065333,EED,RNPS1
1065438,EED,VCP
1065493,EED,MAGOH
1105834,SRPK1,HNRNPM
1105835,SRPK1,ILF3
1106450,SRPK1,SAFB
1173524,ESR1,SFPQ
1173592,ESR1,PRPF19
1173603,ESR1,ILF3
1173613,ESR1,SEPT2
1173614,ESR1,NONO
1173634,ESR1,VCP
1173651,ESR1,EIF4A3
1173967,FBXW11,YWHAB
1174000,FBXW11,YWHAG
1174378,ILF2,EP300
1175065,FBXW11,PPP1CC
1175769,PRPF40A,ACIN1
1177961,DHX8,CDC5L
1177973,DHX8,JMJD6
1184819,PPP1CC,PPP1CA
1186942,RBM4B,CDC5L
1191149,SNIP1,ACIN1
1191162,SNIP1,SRSF1
1191163,SNIP1,RNPS1
1191171,SNIP1,MAGOH
1191173,SNIP1,EIF4A3
1191178,SNIP1,SRSF6
1191179,SNIP1,MKRN1
1191183,SNIP1,BUD31
1191187,SNIP1,DHX8
1240437,CDC5L,HNRNPM
1256001,FBXW11,NUP50
1256043,FBXW11,KIF20A
1256127,FBXW11,SF3B1
1256184,FBXW11,UBR5
1257058,EP300,ILF3
1260969,PRPF19,DHX8
1260970,CDC5L,DHX9
1266634,VCP,PHB
1267418,BUD31,PRPF19
1267438,UBE2A,PRPF19
1267446,SF3B1,PRPF3
1267480,PUF60,PRPF40A
1268781,CDC5L,RBM39
1268782,SNRNP70,RBM39
1268897,RBM39,RNPS1
1268915,ZC3H18,RNPS1
1271631,SF3B6,SAFB
1271970,PRPF19,SF3B1
1272347,PRPF3,SNRNP70
1272558,ACIN1,SRRM2
1272560,PUF60,SRRM2
1272566,SRSF11,SRRM2
1272569,ZC3H18,SRRM2
1272574,SRSF6,SRSF1
1272575,SRSF7,SRSF1
1272578,UBR5,SRSF1
1272580,SNRNP70,SRSF11
1272595,SRSF7,SRSF6
1274226,PRPF19,USP39
1274685,ACIN1,ZC3H18
1274686,BRD4,ZC3H18
1415412,IFI16,ACIN1
1415445,IFI16,HP1BP3
1415448,IFI16,KIF23
1415457,IFI16,MKI67
1415470,IFI16,NXF1
1415512,IFI16,TRIM26
1415581,IFI16,PRPF40A
1415594,IFI16,SAP18
1415643,IFI16,DHX8
1415653,IFI16,FBXW11
1415671,IFI16,NHP2L1
1415678,IFI16,NUP50
1415709,IFI16,SRPK1
1418106,ESR1,HBP1
1418180,RNPS1,SRSF11
1425716,FBXW11,ZC3H18
1426000,GAG,IFI16
1426031,GAG,SRRM2
1427350,GAG,HNRNPM
1427355,GAG,MKI67
1429309,SRPK2,ECT2
1429310,SRPK2,EED
1429398,SRPK2,NXF1
1429431,SRPK2,RPL13
1429442,SRPK2,SAFB
1429466,SRPK2,SRSF11
1429488,SRPK2,USP39
1429497,SRPK2,ZC3H18
1438880,MAGEA6,TRIM26
1445065,PPP1CC,ILF3
1445451,EZH2,MKI67
1445780,EZH2,SEPT2
1448096,KIF20A,VCP
1448852,NR2C2,EED
1449125,KIFAP3,PRPF3
1449425,RNPS1,KIF23
1450010,EZH2,RBX1
1452794,KIF20A,PHGDH
1454531,NR2C2,PRPF40A
1454901,TRIM26,C11ORF30
